event_id,url,title,date_start,time_start,location,ticket_url,ticket_price_text,ticket_free,description,category,categories,organizer,duration
ffd9b4ad382c90f05b77c776413fd9b4,https://allevents.in/skopje/sars/200028599714458,S.A.R.S.,,,Public Room,https://allevents.in/skopje/sars/200028599714458,,True,"Ви го најавуваме концертот на легендарните САРС во Public Room! 🤩🤩🤩
🗓 На 22. ноември слушнете ги во живо „Перспектива“, „Ратујемо ти и ја“, „Лутка“, „Ракија“, „Буђав лебац“, „Веруј ми“ и уште многу други! 

Не го пропуштајте настапот на еден од најавтентичните бендови на балканската сцена, закажан з",Music,['Music'],Public Room,
6df2e135e555113af37729c721c7adfe,https://allevents.in/skopje/%E2%80%9E%D0%91%D0%9E%D0%93-%D0%9D%D0%90-%D0%9A%D0%9E%D0%9B%D0%95%D0%96%D0%9E%D0%A2/200028566885534,„БОГ НА КОЛЕЖОТ“,,,"11 Март, 1000 Skopje, Republic of Macedonia",https://allevents.in/skopje/%E2%80%9E%D0%91%D0%9E%D0%93-%D0%9D%D0%90-%D0%9A%D0%9E%D0%9B%D0%95%D0%96%D0%9E%D0%A2/200028566885534,,True,"„Бог на колежот“
По мотивите на „God of Carnage“ на Јасмина Реза
Адаптација и режија: Весна Петрушевска
Ко-продукциски проект

Превод: Рајна Кошка-Хот
Сценограф: Татјана Христоска
Костимограф: Наталија Терзија
Сценски движења: Кренаре Невзати-Кери

Избор на музика: Весна Петрушевска
Автор на сонг „П",Theater,['Theater'],Македонски народен театар / Makedonski naroden teatar,
257e2860710cd413476923546f64ab38,https://allevents.in/skopje/%D0%9F%D0%A0%D0%95%D0%9C%D0%98%D0%95%D0%A0%D0%90-%D0%90%D0%BD%D0%B3%D0%B5%D0%BB%D0%B8-%D0%B2%D0%BE-%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0-%D0%B4%D0%B5%D0%BB-i/200028556285559,ПРЕМИЕРА - Ангели во Америка (дел I),,,"11 Март, 1000 Skopje, North Macedonia",https://allevents.in/skopje/%D0%9F%D0%A0%D0%95%D0%9C%D0%98%D0%95%D0%A0%D0%90-%D0%90%D0%BD%D0%B3%D0%B5%D0%BB%D0%B8-%D0%B2%D0%BE-%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0-%D0%B4%D0%B5%D0%BB-i/200028556285559,,True,"Автор: Тони Кушнер
Режисер: Во режија, превод и кореографија на Филип Петковски
Продуцент: Петар Антевски
Сценограф: Мартин Манев
Костимограф: Антонија Гугинска-Јорданоска
Асистент на режисерот: Антонија Белазелковска
Претставата се реализира како копродукциски проект меѓу Македонскиот народен теата",Cinema,['Cinema'],Македонски народен театар / Makedonski naroden teatar,
6fc7211f4911ba82c067437d09ac0d18,https://allevents.in/skopje/masom-l1-the-world-of-wines/200028657309302,MASOM L1 - The World of Wines,,,M6 Educational Centre,https://allevents.in/skopje/masom-l1-the-world-of-wines/200028657309302,,True,"Дводневна винска обука 

11 и 12 септември 2025 
од 10:00 до 16:00 часот

Цена: 8650,00 ден

Рок за пријавување 5 септември 2025 
на: http://www.masom.net/apply-now.html 

Оваа кратка винска обука е идеална почетна точка за љубителите на виното, како и за оние кои започнуваат кариера поврзана со вин",Education,['Education'],MASOM - Macedonian Association of Sommeliers,
e5546ddbeccba9dee917f294e6f14718,https://allevents.in/skopje/kozjak-1284mnv-pogranicni-vrh/200028672588633,KOZJAK (1284mnv)- POGRANICNI VRH 🇲🇰🇷🇸,,,Kumanovo,https://allevents.in/skopje/kozjak-1284mnv-pogranicni-vrh/200028672588633,,True,"Postovane/i, Planinarsko drustvo Beljanica iz Svilajnca organizuje odlazak na pogranicni vrh Kozjak (1284mnv) sa koga se vidi manastir Prohor Pcinjski. Staza je srednje zahtevna i duzine 18km. Prvog dana po dolasku je planirano da se obidje Spomen kosturnica na brdu Zebrnjak koje je podignuto u cast",Art,['Art'],,
afadca490bb05bf8e914556b38c057e4,https://allevents.in/skopje/ifbb-diamond-cup-skopje/200028494858144,IFBB Diamond Cup Skopje,,,Diamond Mall Skopje,https://allevents.in/skopje/ifbb-diamond-cup-skopje/200028494858144,,True,"IFBB Diamond Cup Skopje, since 2018!
IFBB PRO Qualifier and World Ranking Event!
October, 11-12,2025, Skopje, Diamond Mall!
SAVE THE DATE!!!",event,['event'],IFBB Diamond Cup MKD,
b902b6cb681434794b8d1b9fe81bc655,https://allevents.in/skopje/la-madre-retreat-macedonia-balkan-groupe/200028665340334,LA MADRE RETREAT@MACEDONIA- BALKAN GROUPE,,,"Skopje, Macedonia",https://allevents.in/skopje/la-madre-retreat-macedonia-balkan-groupe/200028665340334,,True,"Dear brothers and sisters,
I warmly invite you to a 3-day retreat with 2 medicine ceremonies included for deep healing and transformation
more info and PDF brochures on official email and contact:

This retreat is being organized by another organisation on apply, and you will get their contact
_____",Education,['Education'],Equilibrium school & hospital for plant Medicine Croatia,
62ab70f67fa6ccfd9286fc0c80ec2956,https://allevents.in/skopje/sparkasse-life-%D0%9F%D0%A0%D0%92-%D0%94%D0%9E-%D0%92%D0%A0%D0%92-2026/200028278672940,Sparkasse Life ПРВ ДО ВРВ 2026,,,Врв на Водно,https://allevents.in/skopje/sparkasse-life-%D0%9F%D0%A0%D0%92-%D0%94%D0%9E-%D0%92%D0%A0%D0%92-2026/200028278672940,,True,"Зачувај го датумот 17 Мај 2026 за твоето следно учество на Sparkasse Life Прв до Врв 2026 и подготвувај се една од 5-те трки:

🏃‍♂️ Планинско трчање
🚵 Планински велосипедизам
🚴‍♂️ Друмски велосипедизам
⚡ E-Bike
👥 Team-building Summit Run

Наскоро повеќе информации за најголемиот планински настан во",Business,['Business'],Прв до врв,09:00 am - 02:00 pm
ae584d869126f425faeb9392ce0dad3d,https://allevents.in/skopje/only-the-hard-tour-terror-dbd-last-hope-and-risk-it-s26-skopje/200028569467400,"ONLY THE HARD TOUR (TERROR + DBD, LAST HOPE & RISK IT) @ S26 SKOPJE",,,Станица 26,https://allevents.in/skopje/only-the-hard-tour-terror-dbd-last-hope-and-risk-it-s26-skopje/200028569467400,,True,"ONLY THE HARD TOUR
📍 2 декември | Станица 26, Скопје
🕕 Врати: 18:00

DIEHARD RECORDS со гордост ви најавува:
Четири хардкор титани на една бина – ONLY THE HARD турнејата конечно доаѓа во Скопје. Вистинско хардкор шоу без бариера!

TERROR (Los Angeles) – Повеќе од две децении дефиниција и темел на ха",Business,['Business'],Diehard Records,
5a0924d1674b37b8675f6342b7aeae0c,https://allevents.in/skopje/ilinden-cup-2025-%D0%98%D0%BB%D0%B8%D0%BD%D0%B4%D0%B5%D0%BD-%D0%BA%D1%83%D0%BF-2025/200027991841840,Ilinden Cup 2025 - Илинден куп 2025,,,"Ilinden, 1000 Skopje, Republic of Macedonia",https://allevents.in/skopje/ilinden-cup-2025-%D0%98%D0%BB%D0%B8%D0%BD%D0%B4%D0%B5%D0%BD-%D0%BA%D1%83%D0%BF-2025/200027991841840,,True,"Save the date! 🏆⚽
The most exciting football tournament of the year is happening September 12–14, 2025! Get ready for three days of thrilling matches, unforgettable moments, and pure passion for the game. Stay tuned for more details—this is an event you won’t want to miss! 
-
Запомнете го датумот! 🏆",Sports,['Sports'],ILINDEN CUP 2023,
